Factor ID,Meal Name,Dutch name,Danish name,DE Name,Swedish name,Internal SKU (Dutch),Internal SKU (NOR),Internal SKU (DE)
"FE0024E","Chicken in tomato cream sauce","Kipfilet in tomaten-roomsaus","Kylling i cremet tomatsauce","Hähnchen in Tomatencreme","","CON-40-143690-4","CON-00-147812-2","CON-00-136673-3"
"FE0025M","Chicken in lemon-capers sauce","Kip in citroen-kappertjessaus","Kylling i citron- og kaperssauce","Hähnchen in Zitronen-Kapern-Sauce","Kyckling i citron- och kaprissås","CON-40-143676-4","CON-00-147811-2","CON-00-136695-3"
"FE0031C","Creamy tomato risotto","Romige tomatenrisotto","Cremet tomatrisotto","Cremiges Tomaten-Risotto","","CON-40-143722-4","CON-00-147816-2","CON-00-136629-3"
"FE0035F","Salmon with pesto","Zalm met pesto","Laks med pesto","Lachs mit Pesto","","CON-40-143754-4","CON-00-147813-2","CON-00-136630-3"
"FE0036E","Salmon on cheesy cauliflower rice","Zalm op cheesy bloemkoolrijst","Laks og ostegratineret blomkålsris","Lachs auf Blumenkohlreis in Käsecreme","","CON-40-143755-4","CON-00-147814-2","CON-00-136617-3"
"FE0047G","Beef & pepper casserole","Casserole met rundergehakt en paprika","Oksekøds- og pebergryde","Rindfleisch-Paprika-Auflauf","Köttgryta med paprika","CON-40-143652-4","CON-00-147815-2","CON-00-136723-3"
"FE0090C","Ratatouille of zucchini and pepper","Ratatouille van courgette en paprika","Squash- og peberfrugtsratatouille","Zucchini-Paprika-Ratatouille","","CON-40-143718-4","CON-00-147817-2","CON-00-136634-3"
"FE0092B","Tunisian-Style Beef & Tomato Stew","Tunesische stijl runder- en tomatenstoof","Tunisisk-inspireret okse- og tomatgryde","Rind-Tomaten-Eintopf nach tunesischer Art","","CON-40-155023-4","CON-00-155019-2","CON-00-155020-2"
"FE0121C","Mexican style corn cake","Mexicaanse stijl maïscake","Mexicansk-inspireret majskage","Mexikanischer Maiskuchen","","CON-40-143697-4","CON-00-147818-2","CON-00-136641-3"
"FE0121D","Mexican style corn cake","Mexicaanse stijl maïscake","Mexicansk-inspireret majskage","Mexikanischer Maiskuchen","","CON-40-143697-4","CON-00-147818-2","CON-00-136641-3"
"FE0123H","Chicken Alfredo","Kip Alfredo","Chicken Alfredo","Hähnchen „Alfredo""","","CON-40-143675-4","CON-00-147821-2","CON-00-136725-3"
"FE0129G","Peruvian style chicken breast","Peruaanse stijl kipfilet","Peruviansk inspireret kyllingebryst","Hähnchenbrust nach peruanischer Art","","CON-40-143705-4","CON-00-147819-2","CON-00-136727-3"
"FE0130C","Rice bowl with pulled chicken and taco spices","Mexicaanse stijl rijstbowl met kip","Ris-bowl med pulled chicken og tacokrydderier","Mexikanisch Reis-Bowl mit Pulled Chicken und Taco-Gewürzen","Ris-bowl med pulled chicken och tacokrydda","CON-40-143737-4","CON-00-147820-2","CON-00-136635-3"
"FE0130D","Mexican style rice bowl with chicken","Mexicaanse stijl rijstbowl met kip","Mexicansk bowl med kylling og ris","Mexikanische Reis-Bowl mit Hähnchen","Mexikansk risbowl med kyckling","CON-40-143737-4","CON-00-147820-2","CON-00-136635-3"
