"Date Needed","Work Order Number","Recipe ID","Recipe Name","Sub Recipe Name","Production Minimum Needs Amount","Cook Methods","WO Cooked Portions","Target Portions","Cooked Portions Excess","Staging Status","Staging Comment","Kitchen Status","Unlocked ETA","Work Order Comment"
"2026-05-30 - 2","24-1","REC-013840-4-004","FV0426A - Potato Leek Mash & Grilled Chicken [DE]","Chicken breast - Herb Grilled Chicken Breast","0","BRINE, GRILL, MARINADE, OVEN","","5063","-5063","Not Started","","Not Started","",""
"2026-05-30 - 2","24-2","REC-013840-4-004","FV0426A - Potato Leek Mash & Grilled Chicken [DE]","Compound butter - Parmesan-Chive","0","PLANETARY MIXER, SCOOPER (BUTTER)","","5063","-5063","Not Started","","Not Started","",""
"2026-05-30 - 2","24-35","REC-013852-4-003","FV0472A - Indian Butter Chicken [BNL]","Cauliflower rice - Cilantro and Lime Cauliflower Rice - BA","0","OVEN","","1896","-1896","Not Started","","Not Started","",""
"2026-05-30 - 2","24-36","REC-013852-4-003","FV0472A - Indian Butter Chicken [BNL]","Diced chicken - Butter Chicken Batch - BA","0","BRINE, HAND MIX, MARINADE, OVEN, SPICE PORTIONING","","1896","-1896","Not Started","","Not Started","",""
"2026-05-30 - 2","24-38","REC-013852-4-003","FV0472A - Indian Butter Chicken [BNL]","Sauce - Butter Chicken sauce","0","BRAISER, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","","1896","-1896","Not Started","","Not Started","",""
"2026-05-31 - 1","24-3","REC-013840-4-004","FV0426A - Potato Leek Mash & Grilled Chicken [DE]","Corn - S&P Roasty Corn Sauté - BRAISER","0","BRAISER, SPICE PORTIONING","","5063","-5063","Not Started","","Not Started","",""
"2026-05-31 - 1","24-4","REC-013840-4-004","FV0426A - Potato Leek Mash & Grilled Chicken [DE]","Courgette - Herb Roasted Zucchini + more salt","0","OVEN","","5063","-5063","Not Started","","Not Started","",""
"2026-05-31 - 1","24-5","REC-013840-4-004","FV0426A - Potato Leek Mash & Grilled Chicken [DE]","Mash - Leek & Cream cheese Mashed Potatoes","0","OVEN, PLANETARY MIXER","","5063","-5063","Not Started","","Not Started","",""
"2026-05-31 - 1","24-37","REC-013852-4-003","FV0472A - Indian Butter Chicken [BNL]","Roasted Green Onions","0","OVEN","","1896","-1896","Not Started","","Not Started","",""
"2026-05-31 - 2","24-39","REC-013423-4-005","FV0601A - Mozzarella Burger & Roasted Potatoes [BNL]","Beef Burger Master EU","0","BRAISER, HORIZONTAL MIXER, IMMERSION BLENDER, OVEN, PATTY MAKER, SPICE PORTIONING","","1341","-1341","Not Started","","Not Started","",""
